time_ms,latent,correlation_with_log_rt
-640.390869140625,z2,-0.12083866553506534
-636.4820556640625,z2,-0.12480525897883467
-632.5733032226562,z2,-0.12837481014187402
-628.6644897460938,z2,-0.1310511947423976
-624.7556762695312,z2,-0.13281792968926168
-620.846923828125,z2,-0.13375208555948234
-616.9381103515625,z2,-0.13386835716730694
-613.029296875,z2,-0.1333429211325718
-609.1205444335938,z2,-0.13258671388258014
-605.2117309570312,z2,-0.1320221854231455
-601.3029174804688,z2,-0.1316445268232366
-597.3941650390625,z2,-0.1312564315195031
-593.4853515625,z2,-0.13105440634190038
-589.5765380859375,z2,-0.13152026440270045
-585.667724609375,z2,-0.133030131961347
-581.7589721679688,z2,-0.13546883128274956
-577.8501586914062,z2,-0.13838848206924448
-573.9413452148438,z2,-0.14121269028168582
-570.0325927734375,z2,-0.14348810218637986
-566.123779296875,z2,-0.14500622984962294
-562.2149658203125,z2,-0.14594180044187657
-558.3062133789062,z2,-0.146584532113969
-554.3973999023438,z2,-0.14726804580455413
-550.4885864257812,z2,-0.14837039132400745
-546.579833984375,z2,-0.14994957025925273
-542.6710205078125,z2,-0.15173179380654353
-538.76220703125,z2,-0.15301899048271825
-534.8533935546875,z2,-0.15314982536665211
-530.9446411132812,z2,-0.15200908140962838
-527.0358276367188,z2,-0.15009620441146307
-523.1270141601562,z2,-0.14816341200200608
-519.21826171875,z2,-0.1468145843659996
-515.3094482421875,z2,-0.14629419928144105
-511.4006652832031,z2,-0.14628510168681344
-507.4918518066406,z2,-0.14609767067681476
-503.58306884765625,z2,-0.1449501445811743
-499.67425537109375,z2,-0.14265665651924647
-495.7654724121094,z2,-0.13965252007412055
-491.856689453125,z2,-0.13647725260084384
-487.9478759765625,z2,-0.13348087338280556
-484.0390930175781,z2,-0.1310216229067518
-480.1302795410156,z2,-0.12933573372992205
-476.22149658203125,z2,-0.12831891341786691
-472.3127136230469,z2,-0.12752763140376516
-468.4039001464844,z2,-0.1264743010686828
-464.4951171875,z2,-0.1251884920321796
-460.5863342285156,z2,-0.12414974007788589
-456.6775207519531,z2,-0.1238213453033756
-452.76873779296875,z2,-0.12427414385760102
-448.85992431640625,z2,-0.12518474225507198
-444.9511413574219,z2,-0.12592883595815166
-441.0423583984375,z2,-0.12583852673707124
-437.133544921875,z2,-0.12446948959548958
-433.2247619628906,z2,-0.12177886977212898
-429.3159484863281,z2,-0.11815027564241974
-425.40716552734375,z2,-0.1141448625528018
-421.4983825683594,z2,-0.11034191810575038
-417.5895690917969,z2,-0.10737375428986531
-413.6807861328125,z2,-0.10561146827201769
-409.77197265625,z2,-0.10487880503625281
-405.8631896972656,z2,-0.10453407526761484
-401.95440673828125,z2,-0.10382801361787036
-398.04559326171875,z2,-0.10193996883516945
-394.1368103027344,z2,-0.09824642081590568
-390.22802734375,z2,-0.09276187488406946
-386.3192138671875,z2,-0.0860904103831018
-382.4104309082031,z2,-0.07910173259881174
