window,model,fold,feature,coefficient
mid (-300 to -120 ms),baseline,4,baseline_2,-0.03795412927865982
mid (-300 to -120 ms),baseline,4,baseline_3,0.010856512933969498
mid (-300 to -120 ms),baseline,4,baseline_4,0.02143324539065361
mid (-300 to -120 ms),baseline,5,baseline_0,0.06339418143033981
mid (-300 to -120 ms),baseline,5,baseline_1,-0.028032254427671432
mid (-300 to -120 ms),baseline,5,baseline_2,-0.034060049802064896
mid (-300 to -120 ms),baseline,5,baseline_3,0.011928974650800228
mid (-300 to -120 ms),baseline,5,baseline_4,0.02484026737511158
mid (-300 to -120 ms),z-only,1,z1_mean,0.018160557374358177
mid (-300 to -120 ms),z-only,1,z2_mean,0.007139522582292557
mid (-300 to -120 ms),z-only,1,z3_mean,0.0029750491958111525
mid (-300 to -120 ms),z-only,1,z4_mean,-0.005104945972561836
mid (-300 to -120 ms),z-only,1,z5_mean,0.012389716692268848
mid (-300 to -120 ms),z-only,2,z1_mean,0.028101742267608643
mid (-300 to -120 ms),z-only,2,z2_mean,0.002130473032593727
mid (-300 to -120 ms),z-only,2,z3_mean,0.0026447877753525972
mid (-300 to -120 ms),z-only,2,z4_mean,-0.005540050100535154
mid (-300 to -120 ms),z-only,2,z5_mean,0.017999418079853058
mid (-300 to -120 ms),z-only,3,z1_mean,0.019398553296923637
mid (-300 to -120 ms),z-only,3,z2_mean,0.00726534565910697
mid (-300 to -120 ms),z-only,3,z3_mean,0.0030435300432145596
mid (-300 to -120 ms),z-only,3,z4_mean,-0.006119224242866039
mid (-300 to -120 ms),z-only,3,z5_mean,0.012534407898783684
mid (-300 to -120 ms),z-only,4,z1_mean,0.022188322618603706
mid (-300 to -120 ms),z-only,4,z2_mean,0.009587730281054974
mid (-300 to -120 ms),z-only,4,z3_mean,0.004149789456278086
mid (-300 to -120 ms),z-only,4,z4_mean,-0.006243542768061161
mid (-300 to -120 ms),z-only,4,z5_mean,0.01441563107073307
mid (-300 to -120 ms),z-only,5,z1_mean,-0.0205327607691288
mid (-300 to -120 ms),z-only,5,z2_mean,-0.0028675899375230074
mid (-300 to -120 ms),z-only,5,z3_mean,0.03415406495332718
mid (-300 to -120 ms),z-only,5,z4_mean,-0.07541272789239883
mid (-300 to -120 ms),z-only,5,z5_mean,0.07467760890722275
mid (-300 to -120 ms),baseline+z,1,baseline_0,0.05769409239292145
mid (-300 to -120 ms),baseline+z,1,baseline_1,-0.022944655269384384
