seed,model,fold,cv_r2,rmse,mae,n_test_subjects,n_test_trials,delta_r2_vs_cpp_only
4,z-only,1,0.1266780124616178,0.2858751042755536,0.2350628139971905,8,1434,0.028733210917525787
4,z-only,2,0.07543653200107403,0.2651080600240021,0.2176260133001455,9,1543,-0.02250826954301799
4,z-only,3,0.08956463793297598,0.2864257692840405,0.22874439919614015,8,1432,-0.008380163611116043
4,z-only,4,0.10687061051334945,0.24566452235201278,0.20379565505196418,8,1453,0.008925808969257432
4,z-only,5,0.06643207640619997,0.2866176310646325,0.2351865183339454,8,1435,-0.03151272513789205
4,z-only,pooled,0.10052837033387285,0.27421617477724264,0.22393404605216993,41,7297,0.0025835687897808324
4,CPP + z,1,0.13200306119819571,0.285002215165508,0.23410728564253386,8,1434,0.034058259654103695
4,CPP + z,2,0.07911282508589923,0.2645804674248828,0.21720060118840565,9,1543,-0.01883197645819279
4,CPP + z,3,0.09192760011882584,0.2860538302016053,0.22828570907056472,8,1432,-0.006017201425266183
4,CPP + z,4,0.11018277124439313,0.24520857712345623,0.20334658003270148,8,1453,0.01223796970030111
4,CPP + z,5,0.03761536476002292,0.2910075669085668,0.23680837652725245,8,1435,-0.0603294367840691
4,CPP + z,pooled,0.09747455025611496,0.274681279657172,0.22379582180872615,41,7297,-0.0004702512879770637
4,All-z,1,0.14451949420939914,0.2829399012061004,0.23157892065244318,8,1434,0.046574692665307116
4,All-z,2,0.08612466135887209,0.26357125590409924,0.21599605414706702,9,1543,-0.01182014018521993
4,All-z,3,0.1007779686115241,0.2846564302256709,0.2267731888365862,8,1432,0.0028331670674320852
4,All-z,4,0.11535128842690512,0.2444953910642836,0.20140499723062488,8,1453,0.0174064868828131
4,All-z,5,0.07624655219440357,0.28510706390235274,0.23213084826976152,8,1435,-0.021698249349688448
4,All-z,pooled,0.11227678787961859,0.27241945601247325,0.2214409371552316,41,7297,0.01433198633552657
4,Full,1,0.14810650190402963,0.28234609824830653,0.23129216674291056,8,1434,0.05016170035993761
4,Full,2,0.08763938367434032,0.26335273439767387,0.2158360953581985,9,1543,-0.010305417869751698
4,Full,3,0.10137286963744996,0.2845622541413309,0.226629435298632,8,1432,0.003428068093357939
4,Full,4,0.11680037999929593,0.2442950621580207,0.2012151500013415,8,1453,0.018855578455203914
4,Full,5,0.070387378556375,0.28600982170525585,0.2328179079951626,8,1435,-0.027557422987717017
4,Full,pooled,0.11250333766056053,0.2723846926395493,0.22141986083591644,41,7297,0.014558536116468512
