time_ms,latent,correlation_with_log_rt,model_version
-100.9771957397461,z2,0.1046155248799388,no_prior
-97.0684051513672,z2,0.1090942064643295,no_prior
-93.15960693359376,z2,0.1129313453844012,no_prior
-89.25081634521484,z2,0.1156765714807861,no_prior
-85.3420181274414,z2,0.117423951511772,no_prior
-81.4332275390625,z2,0.1185964964151185,no_prior
-77.52442932128906,z2,0.1198627431442237,no_prior
-73.61563873291016,z2,0.1221329830019764,no_prior
-69.70684051513672,z2,0.1262362006691091,no_prior
-65.79804229736328,z2,0.1323400732648587,no_prior
-61.889251708984375,z2,0.1397105387037887,no_prior
-57.9804573059082,z2,0.1469301405072986,no_prior
-54.07166290283203,z2,0.1523220264381314,no_prior
-50.162864685058594,z2,0.1547635838535255,no_prior
-46.25407028198242,z2,0.1541465733252937,no_prior
-42.34527587890625,z2,0.1511950134542448,no_prior
-38.43648147583008,z2,0.1470406967921713,no_prior
-34.527687072753906,z2,0.1428910370794975,no_prior
-30.618892669677734,z2,0.1395809132423455,no_prior
-26.71009826660156,z2,0.137406944631427,no_prior
-22.80130386352539,z2,0.1363480785047486,no_prior
-18.892507553100582,z2,0.1363011112391238,no_prior
-14.983713150024414,z2,0.1371340064457972,no_prior
-11.074918746948242,z2,0.1385798560343332,no_prior
-7.166123867034912,z2,0.1403557635724282,no_prior
-3.257328987121582,z2,0.1420393808137185,no_prior
0.6514657735824585,z2,0.143187902890591,no_prior
4.560260772705078,z2,0.1436689235899646,no_prior
8.46905517578125,z2,0.1435523700564129,no_prior
12.377850532531738,z2,0.1430283496323057,no_prior
16.286645889282227,z2,0.142538595697348,no_prior
20.1954402923584,z2,0.1425340908172112,no_prior
24.10423469543457,z2,0.1432419319227085,no_prior
28.013029098510746,z2,0.1443193522015432,no_prior
31.92182350158691,z2,0.144685235699436,no_prior
35.83061981201172,z2,0.1432660810775094,no_prior
39.73941421508789,z2,0.1396916492649101,no_prior
43.64820861816406,z2,0.1343718351676305,no_prior
47.557003021240234,z2,0.1283630115324481,no_prior
51.465797424316406,z2,0.1229124333059761,no_prior
55.37459182739258,z2,0.1191169898121402,no_prior
59.28338623046875,z2,0.1174082189920848,no_prior
63.19218063354492,z2,0.1172424892128948,no_prior
67.1009750366211,z2,0.1174953428567082,no_prior
71.00977325439453,z2,0.1172251414007449,no_prior
74.91856384277344,z2,0.1160268424422619,no_prior
78.82736206054688,z2,0.1141883014911675,no_prior
82.73615264892578,z2,0.1124823676403001,no_prior
86.64495086669922,z2,0.1115655036839861,no_prior
90.55374908447266,z2,0.1116110222281299,no_prior
94.46253967285156,z2,0.1123259047635246,no_prior
98.371337890625,z2,0.1131565208110593,no_prior
102.2801284790039,z2,0.1136016049603624,no_prior
106.18892669677734,z2,0.11325275304447,no_prior
110.09771728515624,z2,0.1122225065385585,no_prior
114.00651550292967,z2,0.1109196155589969,no_prior
117.9153060913086,z2,0.1095911259039555,no_prior
121.82410430908205,z2,0.1082537210349446,no_prior
125.73290252685548,z2,0.106702336311519,no_prior
129.64169311523438,z2,0.1045917455362767,no_prior
133.5504913330078,z2,0.1017518764585058,no_prior
137.45928955078125,z2,0.0983314846195328,no_prior
141.36807250976562,z2,0.0947489033404052,no_prior
145.27687072753906,z2,0.0914375036248177,no_prior
149.1856689453125,z2,0.0886626123721546,no_prior
153.09446716308594,z2,0.0864221388024677,no_prior
157.0032501220703,z2,0.0847099933534925,no_prior
160.91204833984375,z2,0.0835351193027481,no_prior
164.8208465576172,z2,0.0827972003708917,no_prior
168.72964477539062,z2,0.0824714494317848,no_prior
172.63844299316406,z2,0.0826073906408513,no_prior
176.54722595214844,z2,0.0831642248941832,no_prior
180.45602416992188,z2,0.0839984721238142,no_prior
184.3648223876953,z2,0.0847395474673627,no_prior
188.27362060546875,z2,0.0846316286033137,no_prior
192.18240356445312,z2,0.0831445249563854,no_prior
196.09120178222656,z2,0.0803443410669737,no_prior
200.0,z2,0.0766858672312821,no_prior
-1000.0,z3,-0.0189524630904424,no_prior
-996.0911865234376,z3,-0.0240967734040593,no_prior
-992.1824340820312,z3,-0.0283154019587815,no_prior
-988.2736206054688,z3,-0.031507284597761,no_prior
-984.3648071289062,z3,-0.0336885449753479,no_prior
-980.4560546875,z3,-0.0348764465609967,no_prior
-976.5472412109376,z3,-0.0350207763508642,no_prior
-972.638427734375,z3,-0.0342125808253825,no_prior
-968.7296142578124,z3,-0.0327189227102373,no_prior
-964.8208618164062,z3,-0.0308985435354906,no_prior
-960.9120483398438,z3,-0.0290384604329365,no_prior
-957.0032348632812,z3,-0.0275107733004869,no_prior
-953.094482421875,z3,-0.0267078838348653,no_prior
-949.1856689453124,z3,-0.0268200410524684,no_prior
-945.27685546875,z3,-0.0279878641277496,no_prior
-941.3681030273438,z3,-0.0302824436707252,no_prior
-937.4592895507812,z3,-0.033545053214406,no_prior
-933.5504760742188,z3,-0.0372245351863147,no_prior
-929.6417236328124,z3,-0.0406894037869422,no_prior
-925.73291015625,z3,-0.0436642388963549,no_prior
-921.8240966796876,z3,-0.0461245683378924,no_prior
-917.915283203125,z3,-0.0480840868094825,no_prior
-914.0065307617188,z3,-0.0496400381383562,no_prior
-910.0977172851562,z3,-0.0507563610816011,no_prior
-906.1889038085938,z3,-0.0513416792795748,no_prior
-902.2801513671876,z3,-0.0514343470218804,no_prior
-898.371337890625,z3,-0.0514937299376061,no_prior
-894.4625244140625,z3,-0.0519765915843833,no_prior
-890.5537719726562,z3,-0.0527514872405503,no_prior
-886.6449584960938,z3,-0.0531348235813353,no_prior
-882.7361450195312,z3,-0.0523842085732039,no_prior
-878.8273315429688,z3,-0.0503007780099198,no_prior
-874.9185791015625,z3,-0.0470643740851052,no_prior
-871.009765625,z3,-0.0430558768615109,no_prior
-867.1009521484375,z3,-0.0390746223265048,no_prior
-863.1921997070312,z3,-0.0361782910170982,no_prior
-859.2833862304688,z3,-0.0352243199439664,no_prior
-855.3745727539062,z3,-0.0363616223158555,no_prior
-851.4658203125,z3,-0.0392751866359884,no_prior
-847.5570068359375,z3,-0.0434186711580887,no_prior
-843.648193359375,z3,-0.0480570010457133,no_prior
-839.7394409179688,z3,-0.0525924268074559,no_prior
-835.8306274414062,z3,-0.0568981527661534,no_prior
-831.9218139648438,z3,-0.0611984380630613,no_prior
-828.0130004882812,z3,-0.0655134669099362,no_prior
-824.104248046875,z3,-0.0696791461233059,no_prior
-820.1954345703125,z3,-0.0736224303194406,no_prior
-816.28662109375,z3,-0.0773816746622753,no_prior
-812.3778686523438,z3,-0.0805685836909945,no_prior
-808.4690551757812,z3,-0.0823614628080686,no_prior
-804.5602416992188,z3,-0.082461318925032,no_prior
-800.6514892578125,z3,-0.081043595026298,no_prior
-796.74267578125,z3,-0.0788431942100081,no_prior
-792.8338623046875,z3,-0.0769057918920332,no_prior
-788.9251098632812,z3,-0.0758545518550413,no_prior
-785.0162963867188,z3,-0.0758040336821835,no_prior
-781.1074829101562,z3,-0.0767426272854842,no_prior
-777.1986694335938,z3,-0.0783750382453165,no_prior
-773.2899169921875,z3,-0.0799554073458425,no_prior
-769.381103515625,z3,-0.0809813793485551,no_prior
-765.4722900390625,z3,-0.0815832568213144,no_prior
-761.5635375976562,z3,-0.0822008631214731,no_prior
-757.6547241210938,z3,-0.0834373203949196,no_prior
-753.7459106445312,z3,-0.0859721050383329,no_prior
-749.837158203125,z3,-0.0900624444540106,no_prior
-745.9283447265625,z3,-0.0953005672004612,no_prior
-742.01953125,z3,-0.1007356798221832,no_prior
-738.1107788085938,z3,-0.1053716309489016,no_prior
-734.2019653320312,z3,-0.1087119709794718,no_prior
-730.2931518554688,z3,-0.1107706555477368,no_prior
-726.3843383789062,z3,-0.1119021526500083,no_prior
-722.4755859375,z3,-0.1126005804886472,no_prior
-718.5667724609375,z3,-0.1133981706835478,no_prior
-714.657958984375,z3,-0.1146196150555948,no_prior
-710.7492065429688,z3,-0.11589721005366,no_prior
-706.8403930664062,z3,-0.1163753126225679,no_prior
-702.9315795898438,z3,-0.1155342573914416,no_prior
-699.0228271484375,z3,-0.1135026264470885,no_prior
-695.114013671875,z3,-0.1111346487588773,no_prior
-691.2052001953125,z3,-0.1096319321738047,no_prior
-687.29638671875,z3,-0.1097585151889201,no_prior
-683.3876342773438,z3,-0.1116130688043978,no_prior
-679.4788208007812,z3,-0.1148986373882698,no_prior
-675.5700073242188,z3,-0.1189249166524891,no_prior
-671.6612548828125,z3,-0.1229919158764574,no_prior
-667.75244140625,z3,-0.1269635226139639,no_prior
-663.8436279296875,z3,-0.1313157779907452,no_prior
